participant;IP;task;SS;SL;SP;DS;DL;DP;taskname
1;73.9.138.157;DPDL;0;0;0;0;0;1;SA2
1;73.9.138.157;DPDL;0;0;0;0;1;0;SA2_Rep2
1;73.9.138.157;DPDL;0;0;0;0;0;1;SA2_Rep3
1;73.9.138.157;SSDL;0;0;0;0;1;0;SA3
1;73.9.138.157;SSDL;0;0;0;0;1;0;SA3_Rep2
1;73.9.138.157;SSDL;0;0;0;0;1;0;SA3_Rep3
1;73.9.138.157;SSDP;0;0;0;0;0;1;SA4
1;73.9.138.157;SSDP;0;0;0;0;0;1;SA4_Rep2
1;73.9.138.157;SSDP;0;0;0;0;0;1;SA4_Rep3
1;73.9.138.157;SLDP;0;1;0;0;0;0;SA5
1;73.9.138.157;SLDP;0;0;0;0;0;0;SA5_Rep2
1;73.9.138.157;SLDP;0;0;0;0;0;1;SA5_Rep3
1;73.9.138.157;SPDL;0;0;0;0;1;0;SA6
1;73.9.138.157;SPDL;0;0;0;0;1;0;SA6_Rep2
1;73.9.138.157;SPDL;0;0;0;0;1;0;SA6_Rep3
1;73.9.138.157;SLSS;0;1;0;0;0;0;SA7
1;73.9.138.157;SLSS;0;1;0;0;0;0;SA7_Rep2
1;73.9.138.157;SLSS;0;1;0;0;0;0;SA7_Rep3
1;73.9.138.157;SPSL;0;1;0;0;0;0;SA8
1;73.9.138.157;SPSL;0;1;0;0;0;0;SA8_Rep2
1;73.9.138.157;SPSL;0;1;0;0;0;0;SA8_Rep3
1;73.9.138.157;SPDS;0;0;0;1;0;0;SA9
1;73.9.138.157;SPDS;0;0;0;1;0;0;SA9_Rep2
1;73.9.138.157;SPDS;0;0;0;1;0;0;SA9_Rep3
1;73.9.138.157;SSSP;1;0;0;0;0;0;SA10
1;73.9.138.157;SSSP;1;0;0;0;0;0;SA10_Rep2
1;73.9.138.157;SSSP;1;0;0;0;0;0;SA10_Rep3
1;73.9.138.157;SLDS;0;0;0;1;0;0;SA11
1;73.9.138.157;SLDS;0;0;0;1;0;0;SA11_Rep2
1;73.9.138.157;SLDS;0;0;0;1;0;0;SA11_Rep3
1;73.9.138.157;DPDS;0;0;0;1;0;0;SA12
1;73.9.138.157;DPDS;0;0;0;1;0;0;SA12_Rep2
1;73.9.138.157;DPDS;0;0;0;1;0;0;SA12_Rep3
1;73.9.138.157;DLDS;0;0;0;1;0;0;SA13
1;73.9.138.157;DLDS;0;0;0;1;0;0;SA13_Rep2
1;73.9.138.157;DLDS;0;0;0;1;0;0;SA13_Rep3
2;184.16.104.30;DPDL;0;0;0;0;0;1;SA2
2;184.16.104.30;DPDL;0;0;0;0;0;1;SA2_Rep2
2;184.16.104.30;DPDL;0;0;0;0;0;1;SA2_Rep3
2;184.16.104.30;SSDL;1;0;0;0;0;0;SA3
2;184.16.104.30;SSDL;1;0;0;0;0;0;SA3_Rep2
2;184.16.104.30;SSDL;0;0;0;0;1;0;SA3_Rep3
2;184.16.104.30;SSDP;0;0;0;0;0;1;SA4
2;184.16.104.30;SSDP;0;0;0;0;0;1;SA4_Rep2
2;184.16.104.30;SSDP;0;0;0;0;0;1;SA4_Rep3
2;184.16.104.30;SLDP;0;0;0;0;0;1;SA5
2;184.16.104.30;SLDP;0;0;0;0;0;1;SA5_Rep2
2;184.16.104.30;SLDP;0;0;0;0;0;1;SA5_Rep3
2;184.16.104.30;SPDL;0;0;1;0;0;0;SA6
2;184.16.104.30;SPDL;0;0;1;0;0;0;SA6_Rep2
2;184.16.104.30;SPDL;0;0;1;0;0;0;SA6_Rep3
